Año,poblacion_objetivo,demanda_empleo,oferta_educativa,tasa_empleabilidad,inversion_educativa,graduados_anuales,empresas_demandantes
2010,50000,2500,2000,70.5,1000000.00,1700,208
2011,50837,2689,2042,71.2,1089234.56,1736,224
2012,51789,2856,2089,73.8,1156789.23,1776,238
2013,52634,3098,2156,74.9,1234567.89,1833,258
2014,53567,3234,2198,76.1,1298765.43,1868,269
2015,54423,3456,2267,77.8,1367890.12,1927,288
2016,55298,3612,2334,79.2,1445678.90,1984,301
2017,56187,3789,2398,80.6,1523456.78,2038,316
2018,57089,3945,2467,82.1,1612345.67,2097,329
2019,58012,4123,2534,83.4,1698765.43,2154,344
2020,58945,4298,2598,84.8,1789012.34,2208,358
2021,59897,4467,2667,86.2,1876543.21,2267,372
2022,60867,4645,2734,87.5,1967890.12,2324,387
2023,61856,4834,2798,88.9,2056789.01,2378,403
2024,62863,5012,2867,90.2,2145678.90,2437,418
